Sentence,Tense
don't take those out,1
leave them in there,1
why not,0
because they're Daddy's,1
what is in there,1
oh,0
get Adam's bike,1
what pillow,0
that's a good one to jump on,1
which book,0
that's not really a boy's book,1
see there are no pictures,1
what is that,1
he sticks to me like,1
and scares away,1
and surprise me with a shower,1
I'm a copy cat just like,1
build a castle out_of,1
and pats it carefully with his,1
did you read that,2
you gave it to him,2
go get it,1
go get what,1
what am I,1
I help to move rocks,1
what is this,1
what am I,1
are you looking at the book,1
what is this,1
no,0
no that's a tape recorder,1
yes tape recorder,0
read bunny,1
can the bunny read,1
oh you're going to read to the bunny,1
that's a good idea,1
you can't write,1
he can write but Adam can't write yet,1
mosquito,0
I'll get you,3
poor Perro he was under the pillow,2
who's that,1
that's little Robin Red Breast,1
what's that,1
you leave his pencil in there Adam,1
look Adam,1
here's one,1
do you know this one,1
now what are you writing,1
here,0
where's your piece of paper,1
who's that,1
can you spell your name,1
mustn't write on the book,1
alright,0
now is it nice and clean again,1
pencil and paper alright,0
does your writing look like his,1
you tell me,1
what are those up there,1
don't jump,1
he can't write when you jump,1
put dirt up,1
are you a busy bulldozer,1
are you a busy bulldozer,1
lollipop,0
why do you like to throw your book,1
what are you doing,1
oh you're like a bulldozer,1
no that's no funny,1
you had such a funny expression,2
must go where,1
no Mommy's going to be home,3
Adam will be home too,3
too,0
Catherine too,0
no,0
who,0
well Cliffy's at his house,1
Bozo,0
I guess Cliffy looks at Bozo at her house,1
your screwdriver isn't straight anymore,1
how can you work,1
how can you work,1
put it box,1
you don't have anything else to put in the box do you,1
what is that,1
this is your bulldozer,1
oh my Adam bulldozer alright,0
careful,0
don't hit his feet,1
you like hit ball,1
isn't that part of your trailer,1
you go get it,1
I'll go get it,1
how did you get them in there,2
there's one,1
I guess he's working,1
let's put the poor mailman's head back on,1
how can he see to deliver mail,1
what are you doing,1
tomato,0
where is a tomato,1
who is that,1
who,0
Mary,0
she's gone home,2
she went home in July,2
why don't you come over here and play with the ball,1
you can get it,1
you go get it,1
Daddy's brief case,0
did you get the ball,2
where is it,1
those are Daddy's books,1
Daddy's and Mommy's,0
would you like to have your books on the bookshelf too,1
let's see if there are any pictures in this book,1
what is that,1
no that's a church,1
move your own road grader,0
go move the road grader,1
you pick the road grader up,1
the dog doesn't want any paper does he,1
here doggie,0
that's not a record,1
ask her what that is,1
that's a tape recorder,1
don't touch,1
what is it doing,1
record is playing,1
what does it do when it plays,1
do you hear a horn playing,1
I don't hear a horn,1
is there a horn on there,1
did he like the water,2
what do you see in there,1
where does the ladder go,1
can you put it on,1
can you put them in there,1
I thought you couldn't do it,2
that's no ladder for that,1
shall I put this back there,1
you didn't watch where you were going,2
you read your paper and I'll read mine,1
mine paper,0
this is my paper here,1
alright it's yours,1
are you going to say goodbye,1
he's going out,1
would you like some soup,1
what kind of soup,0
well you told her to sit there,2
that's the stool I use when I wash dishes,1
minestrone,0
what's that,1
Mommy's tea,0
what are you doing Adam,1
what do you want a napkin for,1
is it sunny outside,1
did you see the sun,2
is that a lady,1
is it hot,1
you can't reach it,1
put water in it,1
Adam drive record,0
where's your truck going,1
no there's your paper,1
oh doggie write paper,1
that's a smart doggie,1
what did the doggie write,2
what is that,1
that's a hole,1
what did you see in the park this morning,2
oh climb,0
what did he climb,2
was he a big kitty or was he a little kitty,2
no big kitty,0
do you wanna write on here,1
Daddy went to school,2
car broke,2
those are her feet,1
how many feet does she have,1
how many feet do you have,1
how many feet does Mr,1
Cromer have,1
what,0
Catherine stay tonight,1
no Mommy is going to stay tonight,2
yes Adam will stay tonight too,3
who,0
Howe,0
no Howe won't stay tonight,3
no there's no fire back there,1
you drawing a kitty,1
Mommy,0
Adam right there,0
what does Daddy say,1
circle,0
write circle,1
bumble bee,1
where is he,1
why don't you write that,1
thank_you,1
is that the bumble bee,1
do you wanna read a book,1
who is this,1
Donald_Duck go,0
I don't know,1
did you look in your basket,2
part,0
oh his head,0
oh that's been lost a long time,3
can you go with your bike,1
look a trailer,1
what are you going to pull,1
pull Adam's bike,1
no don't take his head off,1
leave him on there so he can drive it,1
yes his head is off,1
do you have a comb,1
goat,0
is that a piggie,1
I can't see,1
no I can't see,1
Bozo,0
what,0
where's a ladder,1
circus,0
circus what,0
acrobat,0
that's the tattooed man,1
tattooed man,0
tattooed man,0
may I sit beside you,1
Judy and Buzz,0
that's a couple we know,1
apple mouth,0
you had an apple when you got up from your nap,2
what's that,1
Adam wanna close the box,1
do you want paper,1
whose brief case is that,1
is that part of the game,1
what is that,1
oh pin game,0
John who,0
let's see,1
John Buzzhart,0
Adam you don't tell him what to write,1
what's your Daddy's name,1
Daddy's all_gone,3
what's his name,1
John Buzzhart,0
sock,0
don't sit on that,1
here's your shoe,1
no Mommy what,0
no John Buzzhart,0
what kind of game,0
Babar,0
which one,0
oh shave a pig,1
that one,0
Bozo,0
you haven't seen Bozo in a long time have you,3
are you sitting with me,1
oh you found bunny,2
that's David's Bunny_Rabbit,1
yes I remember David,1
do you remember David,1
no not her shoe,0
write on the paper,1
what,0
write on his shoe,1
no you can't write on Mr Cromer's show,1
no,0
what is that,1
whenever there's a hill to climb,1
he sticks to me like,1
and scares away,1
down the,0
with a shower,0
yes that does look like rain falling,1
now I'm a copy cat just like,1
just like you,0
yes,0
build a castle out_of,1
with his,0
like bubble gum and cowboy,0
rings,0
like Adam's horsie,0
yes there's a horse there,1
on his shirt yeah,0
if I bring out my,1
what's that,1
while I catch a,1
what happened,2
he can't copy me,1
to a sycamore,0
and say,1
I don't care,1
oh you're going to give the kitty a ride in your wagon,3
do you have a bite,1
can you tell Mr Cromer about Humpty_Dumpty,1
oh he wants to shake hands,1
kitty's fine,0
what's Daddy's name,1
is that a light,1
is that Adam's shoe,1
camper,0
can you play it,1
you like to walk,1
Mommy can't march,1
no Mommy can't march,1
Catherine,0
maybe Catherine can march,1
no you march,1
Catherine,0
where is Catherine,1
what is that,1
no you write on paper with pencil,1
that's his name,1
whose suitcase is that,1
what does it say,1
spaghetti,0
what is that,1
put the ball where,1
tape recorder,0
no you can't put the ball on the tape recorder,1
over there,0
what,0
what did the ball hit,2
oh hit Mommy's rug,1
where did it go,2
in there,0
is it under the chair,1
I'm afraid you might get stuck,1
see you later again,1
alright,0
Adam whose ball is that,1
no you can't sit on my book,1
what kind is that,1
what is that,1
this is a diesel locomotive,1
can you say that,1
baggage car,0
streamlined coach,0
sleeping car,0
dining car,0
modern steam locomotive,0
electric locomotive,0
switcher,0
rotary snow plow,0
flat car,0
mail car,0
tank car,0
box car,0
caboose,0
do you know what kind this is,1
yes there's a man,1
that's a streamlined coach,1
what kind is that,1
put the baby where,1
where is the baby,1
where is she,1
is she sitting up or is she in the bed or is she outside,1
where is she,1
bed yes,0
this is the sleeping car,1
this is the dining car where you sat,1
this is a box car,1
know what kind that is,1
yes those are men but what are they doing,1
yes those are men but what are they doing,1
do you know what that is,1
men,0
you don't know,1
that's the mail car,1
stop car,0
what is that,1
there's a truck that looks like that,1
tank car,0
and the last car on a train is called the what,1
it's called the caboose,1
caboose,0
what is that,1
it looks like a derrick but it's a crane,1
it's one of the tools that they work with,1
that's an old time train,1
yes that does look like a broom doesn't it,1
where are you going,1
whose is this,1
what are you doing,1
fix bike,1
take what,1
do what,1
paper,0
isn't that pretty,1
d a m,0
he always leaves the a off when he's spelling,1
did you write it already,2
careful don't hit Ursula's feet with the tow truck,1
what happened,2
you hit your knee,2
the tow truck hit your knee,2
locomotive,0
that's a flat car,1
yes that is Donald Duck,1
Pinnochio,0
no,0
that's not Pinnochio,1
those are chipmunks and Mickey_Mouse,1
put your pajamas on,1
put pajamas on and we can ride the car,1
he had his bath before supper and he put his pajamas on and he this last night,2
Daddy's racket,0
you can't play with Daddy's,1
yes this Daddy's,0
where did your racket go,2
yes Daddy's racket,0
whose brief case is this,1
get off her briefcase honey,1
yes u p up,0
get up,1
up,0
up,0
come on,1
no you can't sit on his either,1
you had it all squashed down,2
where's your foot,1
where's the other one,1
oh did you find it,2
how many do you have now,1
two feet,0
how many does Mr Cromer have,1
oh that's the knee,1
do you have elbow,1
what's an elbow,1
oh it's right on your arm,1
it's all squashed,1
all squashed,0
you're stepping on her feet,1
where are you sitting,1
where,0
Joshua's chair or did you say Joshua's shirt,2
foot,0
you're picking the dirt up with your bulldozer,1
the big tow truck's picking Joshua's dirt up,1
write that,0
the tractor can't write,1
the racket can't write either,1
Adam is sitting down,1
pick the dirt up,1
pick the roadgrader up,1
no you don't have a nail in there,1
you just can't pick it up that way,1
he's just sharp,1
Robie's nail,0
pick the glove up,1
pick the paper up,1
rug,0
oh you can see the rug now,1
what color is the rug,1
what,0
what color,0
what color is in the rug,1
is it the same over there,1
green,0
green,0
is it the same color everywhere,1
what other color is in it,1
green and what,0
well what did you hit,2
you hit your shoulder,2
on the table,0
mosquito,0
you don't have a mosquito bite back there,1
don't hit your head on the bicycle,1
yes that is a man,1
do you know the man's name,1
yes what's the man's name driving the busy bulldozer,1
yes he's pushing the dirt up,1
what's the man's name,1
this is the man who drives the busy bulldozer,1
what is his name,1
what's his name,1
where did what go,2
you tell me what's happening,1
until he met how many men,2
three men,0
that's one of the men,1
come on pal,1
let's go,1
no don't push Mommy's book,1
no it isn't yours,1
your books are over in your basket,1
is that Doctor Dan,1
is it,1
I didn't think it was,2
why do you call that spaghetti,1
or is that what you're saying,1
Daddy,0
what about Daddy,0
no that's Mr Cromer's suitcase,1
whose suitcase is that,1
no whose suitcase is that,1
whose is this,1
to whom does that belong,1
no that's not Adam's,1
yes that's Daddy's suitcase,1
careful don't be so rough,1
it's not a pocketbook,1
no don't sit on that,1
what kind of car do you have,1
put Miss Munroe's tow truck,1
is that your doggie,1
what's your doggie's name,1
Texaco star,0
that's not a star,1
what about Cliffy,0
bye lion,0
two boots,0
it doesn't belong there,1
okay Adam ride it,1
Adam's doggie,0
take his nose off,1
no you can't take his nose off,1
how will he smell anything,3
no you can't take his nose off either,1
you can't take his nose off,1
no I don't think those two men can,1
no you can't take the lion's nose off,1
doggie take nose off,1
nose off what,0
no you can't take the nose off,1
Adam who take nose off,1
take nose off Donald Duck,1
no,0
take nose off what,1
fire,0
bird,0
no you can't take the nose off the bird either,1
does the bird have a nose,1
that's a donkey,1
and a piggie,0
monkey,0
that's a man and that's a little boy,1
that is a man,1
that's a piggie,1
that's a little baby doggie,1
the baby doggie is a puppy,1
well he does look a little like Pepper,1
it's not the same dog as Pepper,1
what is it doing,1
record going to work,1
yes it is working but what is it going,1
oh no you can't take it off yet,1
it hasn't finished,1
Adam sit down,1
where are you going to sit,3
peekaboo,0
it doesn't have nose,1
where is the nose on the car,1
that's a train,1
the car is on the train,1
who dat that,0
car train,0
car train,0
what is that,1
do you have anything in your pocket,1
do you have a penny,1
that's the rug,1
careful don't step on his foot,1
what is that,1
that's part of the broom,1
what is that part of,1
excuse me Ursula part of the broom,1
why don't you put it in the trash,1
yes right there,0
yeah,0
what did you find,2
what is that,1
what else is on there,1
beans and what,0
those aren't beans they're peas,1
what else,0
no,0
Humpty_Dumpty,0
what did Humpty_Dumpty do,2
he sat on the wall,2
all the king's horses and all the king's,0
men,0
could not put,1
Ricky will fix that,3
Lilly,0
oh Lilly will fix it,3
oh Jesus loves me,1
at church,0
we passed two nuns in the grocery store and Adam told his daddy,2
Jesus love me,1
coat,0
you wanna go to church,1
you don't go to church today,1
Adam's driving,1
Adam you don't ride your up there,1
not up there either,0
no,0
no,0
no,0
where did Daddy go,2
careful Adam,0
yes that is Daddy,1
no leave that back there,1
that's Ursula's tape recorder,1
Mommy is Ursula's Daddy,1
oh,0
you tell me,1
where did Daddy go,2
what does Daddy do at school,1
is the busy bulldozer at school,1
he can't march,1
no he can't march,1
no,0
Green_jeans,0
yes Mr Green_jeans can march,1
Bambi can't march,1
who,0
oh yes the bear can march,1
yes,0
where's your bumble bee,1
get the bumble bee alright,1
do you think he can drive with that there,1
what's her little boy's name,1
that's your name,1
what's her little boy's name,1
why don't you take Ursula's briefcase over to her,1
you can take it off,1
I doubt it,1
oh is that the marching bear,1
put him to work,1
oh put him on the rug,1
oh no Mr Green_jeans is gone now,3
who is that,1
that's Adam,1
do you see him,1
do you see Ursula too,1
who else do you see,1
do you see your truck too,1
you don't mean ball,1
that's a bat,1
where's the ball,1
outside,0
careful don't spill it,1
don't spill the water on the rug,1
what,0
no,0
he doesn't want any water I don't think,1
ask her if she'd like some,1
ask Mr Cromer if he'd like some water,1
the suitcase wants water,1
no,0
that's not your tummy,1
how many tummies do you have,1
that's the man who wrote the book,2
you tell me,1
what are you doing,1
oh you're wiping it off,1
Adam go to work,1
where does Adam work,1
Adam do you know where you live,1
this is Adam's house but where is it,1
oh Adam's driving,1
who is driving,1
Robbie's driving too,1
what are you doing,1
Hobo's truck,0
did you find it,2
yes,0
where is it,1
where's the other one,1
throw to Daddy,1
Doctor Dan at the circus,0
he has two boots on,1
that's a lion tamer,1
the lady of the elephant,0
what is that,1
that's the doggie,1
who is that,1
yes tattooed man,0
no he's not going to bite the doggie and the doggie's not going to bite him,1
they're all falling down,1
see the bird gets away,1
first he does what,1
no the doggie didn't bite him,2
what's this,1
what is she putting the bandaid on,1
take boots on,1
Adam doesn't have cowboy boots like that,1
do you recognize any of these pictures,1
yeah they all fall down,1
how did he get tattooed,2
who fell down,2
what happened to your head,2
what fell down,2
you beep beep Adam,1
you move some of your toys,1
yes move your bike,1
where's your racket,1
you're welcome,1
that's for you,1
whose book is that,1
Bruno Walter,0
Bruno Walter,0
what does he look like,1
playing the piano,1
they do look like stars,1
what's he doing,1
what's his name,1
what is that,1
what is that,1
what is that,1
no that's no paper,1
what is he doing Adam,1
Adam didn't write that,2
Mr Walter did,2
which one is Mr Walter,1
girl,0
when,0
what is he doing,1
he's conducting,1
he's in there,1
you going to give back to Ursula now,1
you'll give it to whom,3
what are you doing Adam,1
Adam's not funny,1
where did Daddy go,2
Daddy Cromer,0
no that's not Cromer's Daddy,1
no Mommy's not Cromer's Mommy either,1
Adam Cromer,0
whose coat is that,1
what are you going to do with the pencil,1
how do you know tha your pencil,1
yes it's turned on,1
what are you talking about,1
what is that,1
you tell me what is that,1
Adam's pencil,0
is that a pencil,1
you want some paper,1
what,0
sure,0
where did you get that,2
sure,0
do you know how old you are,1
two boy,0
what,0
see the racket,1
the racket isn't up there,1
oh you see that,1
where is it,1
Mommy's pillows,0
well I don't want my pillows on the floor,1
oh they're Adam's pillows,1
I don't think Daddy wants his pillows on the floor either,1
put together again,1
with a needle and some thread maybe we can put it back together,1
thread,0
did you ask him to move it,2
are you pulling your dog,1
is the doggie broken,1
that's no lion,1
well that's the right way,1
you can't do that honey,1
what are you Adam,1
busy bulldozer,0
Adam did you pick up the pillows,2
what's so funny,1
did you think that was funny,2
don't ride the roadgrader up there,1
that's right,1
it's not a big hill,1
where is your pencil,1
no this is mine,1
I have mine,1
no this Mommy's,1
can you read what's on there Adam,1
do you want a piece,1
doctor Dan,0
who is that,1
who,0
oh wash hands,1
where,0
what is that,1
what is that,1
what is that,1
this,0
why don't you show it to Ursula,1
yes Donald_Duck,0
who is it,1
show it to Ursula,1
Bambi,0
is that Bambi,1
what did you say then Adam,2
why is he like Perro,1
is there a bunny there,1
Adam what,0
wet your pants,1
can you say you're sorry,1
where's the kitchen,1
where's the kitchen,1
is that the kitchen,1
you go get it,1
Adam is that a ball,1
what kind of car broke,2
oh take my hand out,1
are you as tall as Mommy,1
get the hand out,1
what's this,1
that's not Donald Duck,1
what is that,1
that's an egg,1
look at the chicken coming out,1
hello Chatter,0
oh no you can't take that out_of his hand,1
you're eating Chatter's what,1
what did you bite,2
wipe it off,1
was it good,2
it doesn't go in your mouth does it,1
in whose mouth does it go,1
no not Mommy's mouth,0
not Adam's mouth,0
bite whose mouth,1
no,0
no,0
no,0
does the tape recorder have a mouth,1
where is it,1
what's the matter,1
is that hot,1
who dat that,0
where,0
what,0
ready,0
ready for what,0
careful the microphone,0
Daddy's desk,0
what hurts,1
whose tummy hurts,1
oh your tummy hurts,1
if you put the tractor on your book won't you tear it up,1
no you won't tear the book up,3
mosquito,0
that's not a choo_choo train,1
what is that,1
that's a block,1
what color is the block,1
purple red green,0
what color is the hammer,1
Bambi's green,0
what's Bambi doing,1
poor Bambi,0
did you hurt your head when you feel,1
did he hurt his head,1
up in the sky,0
you go get it,1
you get it,1
where did what go,2
the light,0
what,0
where did the glove go,2
how can you use the glove and the racket at the same time,1
alright be careful,1
oh you lost your shoe,2
what did you hit,2
you knocked Bambi off,2
Bambi,0
call Daddy,1
Daddy,0
Daddy's not home,1
Daddy's not home,1
home,0
Daddy's not home,1
home,0
Mommy's home,1
Adam is home,1
Bambi is home,1
Cromer's at your home,1
Joshua's at his home,1
Kenny's at his home,1
doggie's home,1
who,0
ball is home,1
Perro is home,1
yes man driving tractor over there,1
yes he's home,1
home,0
yes tractor is home,1
yes busy bulldozer is home,1
Adam is home,1
dirt is home,1
oh yes,0
bike is home,1
yes,0
Ricky's at his home,1
yes,0
Susy is at her home,1
who,0
where is your pencil,1
what is that,1
what's in his mouth,1
tongue,0
yeah,0
yes that's an eye,1
how many eyes,0
two ears,0
two eyes,0
yes that is a bell,1
yes that bell is home,1
Ursula's at your home,1
tape recorder's at your home,1
who,0
Adam or,0
door,0
Doctor Dan at the Circus,0
don't you think you should pick it up and put it in the basket,1
make Cromer do it,1
you pick doc Dan up yourself,1
why don't you show him the tattooed man,1
what is that,1
part of an apple,0
it does look like part of an apple but it's not,1
I think maybe it came from your basket,2
yes I think maybe it's part of the basket,1
go where it belongs,1
I don't think you can put it back,1
no that's not part of an apple,1
no it looks like it but it's not part of it,1
it's not part of the apple,1
you didn't hafta make her move,2
careful Adam with that pencil,0
what happened to Adam,2
did somebody spank Adam,2
that's not your tummy back there,1
what is that back there,1
change your diaper,1
that's your back,1
you don't have two tummies,1
your tummy's in front,1
two what,0
whose shoes did you hit,2
Jack and Jill,0
you wanna take it over to Ursula,1
don't Adam foot,1
it sounded like,2
marching bear,0
that's tape,1
no that's tape,1
that's a screw,1
Ursula's all set,1
no,0
we leave this down here,1
so it will be out_of the way,1
that's not a screw,3
that's just part of the machine,1
well that's a screw,1
get back,1
alright,0
don't you touch then,1
if it's hot won't it burn you,1
find a penny,0
where did you put it,2
put it in your pocket,1
don't touch,1
four what,0
pad,0
do you want a pencil,1
what are you going to write,1
you're going to write Cromer,1
you're using your right hand this morning,1
that's very pretty,1
you're going to write Cromer,1
don't knock it over,1
good morning,0
hurt knee,2
hurt knee,2
you didn't hurt yourself with the screwdriver,2
you can fix the screws in your firetruck,1
put this one here,1
did you tell Ursula what kind of train that is,2
did you tell her the color,2
what kind of truck is it,1
truck broken,0
you put the truck where,1
you're a busy bulldozer,1
oh it's a truck,1
oh no it's a busy bulldozer,1
how many,0
red and yellow,0
which one is yellow,1
Ursula's right there,1
can you put it together again,1
you put it together,1
you turned it around properly and then you put them together,1
see the other one and put them together,1
is it like this one,1
which one looks like that one,1
what kind of horn is that,1
what color is the paper,1
what's the matter with you,1
where did Adam go,2
what is that,1
oh you're a baby,1
well what is that,1
what does the baby have in his mouth,1
whistle baby,0
what,0
mouth oh,0
whistle in the baby's mouth,0
oh that would be an awfully smart baby,1
that's Adam's baby,1
when are you going to learn to put your shoe on yourself,1
yes that's water,1
those are rocks,1
there may be fish in the water,1
yes there may be some fish in the water,1
that's no tape recorder,1
those are records in a box,1
put it where it belongs,1
we'll take his coat and hang it up alright,3
how do you spell your name Adam,1
why don't you sit beside Mr Cromer and write what he writes,1
what does the label on Mr Cromer's suitcase say,1
that's no horse,1
what about Cromer's suitcase,1
Adam break suitcase Cromer,1
no Adam shouldn't break Cromer's suitcase,1
he'd do without a suitcase,1
do with a suitcase,1
he'd hafta do without a suitcase because he wouldn't have one,1
oh no he wouldn't have one,1
Catherine take the suitcase,1
no nobody will break the suitcase,3
raining outside,1
you go look out the window and tell me if it's raining,1
is it raining,1
oh no it's not raining,1
well is the sun shining,1
the sun's not shining,1
is it cloudy,1
what kind of day is it,1
sun a week,0
Adam's pieces,0
take a piece of candy,1
what kind of candy is that,1
write with pencil,1
put the radio in,1
who is that,1
you know Humpty_Dumpty,1
what's that little boy's name,1
goose,0
do you think that radio will go in that box,1
it's a windmill,1
whose bike,0
you're going to put all of your toys away,1
did you ask Ursula if you could have that box,2
yes it does sound like sand but it doesn't have any sand in it,1
you going to put your toys in there,1
play toy,0
what about your play toy,0
play toy,0
put finger in,1
what happened to the play toy,2
you dropped the play toy,2
how many play toys do you have,1
Adam fell down,2
what are you crawling on,1
oh you're crawling on the radio,1
but I though you were crawling,2
on your knees,0
put shoe on,1
where did your foot go,2
is it in the shoe,1
foot,0
kitchen play toy,0
do you have play toys in the kitchen,1
what toy do you kick,1
kick your shoe,1
you fell down,2
what happened,2
doggie and the car,0
where did you go yesterday,2
you saw some pretty flowers,2
what kind of play toy are you,1
are you a boat or an airplane,1
are you a Texaco star,1
oh you're a man with a Texaco star,1
don't put your mouth on the paper,1
what did you do to the paper,2
game Adam,0
play tail,1
what,0
can you tell Mr Cromer that you have some gloves too,1
when you open the door and go outside what do you put on,1
you put your gloves on,1
what else,0
what about the book and the door,0
why are you going to put the book outside,1
another book yes,0
whose book is that,1
whose book is that,1
what are you doing,1
a book isn't a ball,1
don't throw the book,1
you ask somebody to play with you,1
Chatter what's the matter with you,1
is that the way Chatter walks,1
can't you think of another game,1
what are you doing with that chair,1
oh Adam sit in the chair,1
is that the way it goes,1
oh Adam sit in the chair and watch the game,1
what kind of game are you going to watch,1
watch the game,1
I don't think there are any games on today,1
they usually come on the weekend,1
come at the end of the week,1
Sunday yes is at the end of the week,1
the power shovel pick the dirt up,1
did you see a power shovel yesterday,2
that's right,1
you say a busy bulldozer yesterday,1
what was the busy bulldozer doing,1
was it pushing the dirt around too,2
oh no picking the dirt up,1
moon picks the dirt up,1
when do you see the moon,1
up in the sky,0
Adam's pencil,0
where are you going,1
what are you going to say to the busy bulldozer,1
you're a little rascal,1
yes you are,1
just checking,1
no you don't need your temperature taken,1
you're well,1
Mommy just takes your temperature when you are sick,1
what's that,1
Adam's shirt,0
don't wear a shirt Mommy,1
Mommy doesn't wear a shirt,1
yes Adam does wear shoes,1
shoes help keep your feet warm,1
what do you wear over your shoes when it's raining,1
that's right don't bite,1
don't ride on the briefcase,1
that's right you sit in a chair,1
that's Ursula's,1
that's Ursula's pocket book,1
is it heavy,1
are you playing football,1
isn't that a pretty box Adam,1
you ask Ursula if it's alright to put this in the briefcase,1
can you bring me my pocket book,1
what is that,1
no it's not all finished,1
won't you please go over and take Ursula's pocketbook to her,3
where did the ball go,2
hit head trash,2
no you hit your head here on the bench,2
Adam what are you doing back there,1
looking at the water,1
no there isn't any water in there,1
that wasn't a drum,2
picking tomatoes up,1
why would you pick a tomato up like that,1
oh in salad,0
what's on your tongue,1
you've got a string of Mommy's hair in your mouth,2
no you don't have any,1
use the eraser and then the writing is all_gone,1
no you don't write on buttons,1
tomato soup,0
where,0
how can I drink so much coffee,1
oh Adam will drink some coffee too,3
why don't you show Ursula your pumpkin candle,1
did you have a pumpkin at Halloween,2
that's three,1
get your ball,1
is that a ball now,1
oh that's a ball right there,1
I don't know,1
do you like grapefruit,1
if you break it then you won't have a pumpkin,1
poor pumpkin,0
oh is that Pepper,1
he went out to the kitchen soon,2
you do it,1
don't touch,1
what is that,1
my that would be a big hat,1
where would you wear a hat like that,1
you put the pencil in your mouth,2
that's not Daddy's suitcase,1
you knocked it over,2
buy milk,1
is milk on there,1
bread in there,0
what kind of bread,0
milk,0
what else,0
beans,0
what else,0
salad,0
what else,0
yes what else,0
milk,0
fresh milk,0
more candy,0
is that Adam,1
it's not candy,1
what is that,1
Adam's suitcase,0
where are you going,1
what will happen if you drop it,3
where do you go with one boot that size,1
is that a letter for somebody,1
whose letter is it,1
Adam's letter,0
the paint came off in your mouth,2
what are you doing Adam,1
oh ice,0
put it in your mouth,1
where are you going now,1
did you take the suitcase out,2
where're you going,1
what do you use that for,1
Adam what are you looking for,1
scissors,0
they'll cut you and hurt,3
cut finger nails,1
they're too large,1
where,0
no it's not broken,1
no that side isn't broken,1
do you have a whistle over there,1
the microphone,0
careful,0
no,0
careful Adam,0
big boys don't bother things like that,1
the record's in the folder,1
the record is in the folder,1
is that yours,1
whose is that,1
Adam's,0
is that yours,1
yours,0
what's the name of that song,1
don't scratch the record,1
put the toys in the basket,1
where is the record,1
in your hand,0
see the record falling out_of the folder,1
no that's not the top to that,1
toys are in there,1
what toys are in there,1
what,0
fish,0
what kind of fish,0
that's not a bus,1
that's part of a train,1
I still don't know what fish is in there,1
I'll put it in the drawer,1
careful with the record,0
what is he doing,1
did Adam do that,2
the man did that,2
Adam did that,2
why did Adam do that,2
Adam take it off,1
what did you say it was the other day,2
nothing,0
oh it's an airplane now,1
windmill,0
what makes the windmill turn around,1
what makes a real windmill turn around,1
do you know,1
no you don't know,1
I don't know,1
where did you put it,2
I see it,1
I'm looking right at it,1
yes I'm looking,1
I'm not looking for anything,1
what are you doing now,1
oh you're looking at the windmill,1
you're turning it on,1
here comes an airplane,1
what does an airplane say,1
do you want Mommy to take it and put it up,1
no,0
you play with it without hitting anybody,1
get it again,1
no,0
is that a flag,1
oh you're getting supper ready,1
what are we having,1
what else,0
do you like tomato soup,1
no you don't like tomato soup,1
you're making two bowls of tomato soup,1
what are you doing now,1
oh,0
other side,1
