Sentence,Tense,Verb
I thought you couldn't do it,2,thought
you couldn't do it,2,couldn't
that's no ladder for that,1,s
shall I put this back there,1,shall
you didn't watch where you were going,2,didn't
where you were going,2,were
you read your paper,1,read
and I'll read mine,3,ll
mine paper,0,None
this is my paper here,1,is
alright it's yours,1,s
are you going to say goodbye,3,are you going to
he's going out,1,s
would you like some soup,1,would
what kind of soup,0,None
well you told her to sit there,2,told
that's the stool I use ,1,s
when I wash dishes,1,wash
minestrone,0,None
what's that,1,s
Mommy's tea,0,None
what are you doing Adam,1,are
what do you want a napkin for,1,do
is it sunny outside,1,is
did you see the sun,2,did
is that a lady,1,is
is it hot,1,is
you can't reach it,1,can't
put water in it,1,put
Adam drive record,0,None
where's your truck going,1,s
no there's your paper,1,s
oh doggie write paper,1,write
that's a smart doggie,1,s
what did the doggie write,2,did
what is that,1,is
that's a hole,1,s
what did you see in the park this morning,2,did
oh climb,0,None
what did he climb,2,did
was he a big kitty,2,was
or was he a little kitty,2,was
no big kitty,0,None
do you wanna write on here,1,do
Daddy went to school,2,went
car broke,2,broke
those are her feet,1,are
how many feet does she have,1,does
how many feet do you have,1,does
how many feet does Mr Cromer have,1,does
what,0,None
Catherine stay tonight,1,stay
no Mommy is going to stay tonight,3,is going to
yes Adam will stay tonight too,3,will
who,0,None
Howe,0,None
no Howe won't stay tonight,3,won't
no there's no fire back there,1,s
you drawing a kitty,0,None
Mommy,0,None
Adam right there,0,None
what does Daddy say,1,does
circle,0,None
write circle,1,write
bumble bee,0,None
where is he,1,is
why don't you write that,1,don't
thank you,1,thank
is that the bumble bee,1,is
do you wanna read a book,1,don't
who is this,1,is
Donald Duck go,0,None
I don't know,1,don't
did you look in your basket,2,did
part,0,None
oh his head,0,None
oh that's been lost a long time,1,s
can you go with your bike,1,can
look a trailer,1,look
what are you going to pull,3,are you going to
pull Adam's bike,1,pull
no don't take his head off,1,don't
leave him on there,1,leave
so he can drive it,1,can
yes his head is off,1,is
do you have a comb,1,don't
goat,0,None
is that a piggie,1,is
I can't see,1,can't
no I can't see,1,can't
Bozo,0,None
what,0,None
where's a ladder,1,s
circus,0,None
circus what,0,None
acrobat,0,None
that's the tattooed man,1,s
tattooed man,0,None
tattooed man,0,None
may I sit beside you,1,may
Judy and Buzz,0,None
that's a couple we know,1,s
apple mouth,0,None
you had an apple when you got up from your nap,2,had
when you got up from your nap,2,got
what's that,1,s
Adam wanna close the box,1,wanna
do you want paper,1,do
whose brief case is that,1,is
is that part of the game,1,is
what is that,1,is
oh pin game,0,None
John who,0,None
let's see,1,let's
John Buzzhart,0,None
Adam you don't tell him what to write,1,don't
what's your Daddy's name,1,s
Daddy's all_gone,1,s
what's his name,1,s
John Buzzhart,0,None
sock,0,None
don't sit on that,1,don't
here's your shoe,1,s
no Mommy what,0,None
no John Buzzhart,0,None
what kind of game,0,None
Babar,0,None
which one,0,None
oh shave a pig,1,shave
that one,0,None
Bozo,0,None
you haven't seen Bozo in a long time have you,1,haven't
are you sitting with me,1,are
oh you found bunny,2,found
that's David's Bunny Rabbit,1,s
yes I remember David,1,remember
do you remember David,1,remember
no not her shoe,0,None
write on the paper,1,write
what,0,None
write on his shoe,1,write
no you can't write on Mr Cromer's show,1,can't
no,0,None
what is that,1,is
whenever there's a hill to climb,1,s
he sticks to me like,1,sticks
and scares away,1,scares
down the,0,None
with a shower,0,None
yes that does look like rain falling,1,does
now I'm a copy cat just like,1,m
just like you,0,None
yes,0,None
build a castle out of,1,build
with his,0,None
like bubble gum and cowboy,0,None
rings,0,None
like Adam's horsie,0,None
yes there's a horse there,1,s
on his shirt yeah,0,None
if I bring out my,1,bring
what's that,1,s
while I catch a,1,catch
what happened,2,happened
he can't copy me,1,can't
to a sycamore,0,None
and say,1,say
I don't care,1,don't 
oh you're going to give the kitty a ride in your wagon,3,re going to 
do you have a bite,1,do
can you tell Mr Cromer about Humpty Dumpty,1,can
oh he wants to shake hands,1,wants
kitty's fine,0,None
what's Daddy's name,1,s
is that a light,1,is
is that Adam's shoe,1,is
camper,0,None
can you play it,1,can
you like to walk,1,like
Mommy can't march,1,can't
no Mommy can't march,1,can't
Catherine,0,None
maybe Catherine can march,1,can
no you march,1,march
Catherine,0,None
where is Catherine,1,is
what is that,1,is
no you write on paper with pencil,1,write
that's his name,1,s
whose suitcase is that,1,is
what does it say,1,does
spaghetti,0,None
what is that,1,is
put the ball where,1,put
tape recorder,0,None
no you can't put the ball on the tape recorder,1,can't
over there,0,None
what,0,None
what did the ball hit,2,did
oh hit Mommy's rug,1,hit
where did it go,2,did
in there,0,None
is it under the chair,1,is
I'm afraid you might get stuck,1,m
see you later again,1,see
alright,0,None
Adam whose ball is that,1,is
no you can't sit on my book,1,can't
what kind is that,1,is
what is that,1,is
this is a diesel locomotive,1,is
can you say that,1,can't
baggage car,0,None
streamlined coach,0,None
sleeping car,0,None
dining car,0,None
modern steam locomotive,0,None
electric locomotive,0,None
switcher,0,None
rotary snow plow,0,None
flat car,0,None
mail car,0,None
tank car,0,None
box car,0,None
caboose,0,None
do you know what kind this is,1,do
yes there's a man,1,s
that's a streamlined coach,1,s
what kind is that,1,is
put the baby where,1,put
where is the baby,1,is
where is she,1,is
or is she outside,1,is
is she sitting up ,1,is
or is she in the bed ,1,is
where is she,1,is
bed yes,0,None
this is the sleeping car,1,is
this is the dining car ,1,is
where you sat,2,sat
this is a box car,1,is
know,1,know
what kind that is,1,is
yes those are men ,1,are
what are they doing,1,are
do you know ,1,do
men,0,None
what that is,1,is
you don't know,1,don't
that's the mail car,1,s
stop car,0,None
what is that,1,is
there's a truck,1,s
that looks like that,1,looks
tank car,0,None
and the last car on a train is called the what,1,is
it's called the caboose,1,s
caboose,0,None
what is that,1,is
it looks like a derrick ,1,looks
but it's a crane,1,s
it's one of the tools ,1,s
that they work with,1,work
that's an old time train,1,s
yes that does look like a broom doesn't it,1,does
where are you going,1,are
whose is this,1,is
what are you doing,1,are
fix bike,1,fix
take what,1,take
do what,1,does
paper,0,None
isn't that pretty,1,isn't
d a m,0,None
he always leaves the a off ,1,leaves
when he's spelling,1,s
did you write it already,2,did
careful don't hit Ursula's feet with the tow truck,1,don't
what happened,2,happened
you hit your knee,2,hit
the tow truck hit your knee,2,hit
locomotive,0,None
that's a flat car,1,s
yes that is Donald Duck,1,is
Pinnochio,0,None
no,0,None
that's not Pinnochio,1,s
those are chipmunks and Mickey Mouse,1,are
put your pajamas on,1,put
put pajamas on,1,put
and we can ride the car,1,can
he had his bath before supper and he put his pajamas on and he this last night,2,had
and he put his pajamas on and he this last night,2,put
Daddy's racket,0,None
you can't play with Daddy's,1,can't
yes this Daddy's,0,None
where did your racket go,2,did
yes Daddy's racket,0,None
whose brief case is this,1,is
get off her briefcase honey,1,get
yes u p up,0,None
get up,1,get
up,0,None
up,0,None
come on,1,come
no you can't sit on his either,1,can't
you had it all squashed down,2,had
where's your foot,1,s
where's the other one,1,s
oh did you find it,2,did
how many do you have now,1,do
two feet,0,None
how many does Mr Cromer have,1,does
oh that's the knee,1,s
do you have elbow,1,have
what's an elbow,1,s
oh it's right on your arm,1,s
it's all squashed,1,s
all squashed,0,None
you're stepping on her feet,1,re
where are you sitting,1,are
where,0,None
Joshua's chair or did you say Joshua's shirt,2,did
foot,0,None
you're picking the dirt up with your bulldozer,1,re
the big tow truck's picking Joshua's dirt up,1,s
write that,0,None
the tractor can't write,1,can't
the racket can't write either,1,can't
Adam is sitting down,1,is
pick the dirt up,1,pick
pick the roadgrader up,1,pick
no you don't have a nail in there,1,don't
you just can't pick it up that way,1,can't
he's just sharp,1,s
Robie's nail,0,None
pick the glove up,1,pick
pick the paper up,1,pick
rug,0,None
oh you can see the rug now,1,can
what color is the rug,1,is
what,0,None
what color,0,None
what color is in the rug,1,is
is it the same over there,1,is
green,0,None
green,0,None
is it the same color everywhere,1,is
what other color is in it,1,is
green and what,0,None
well what did you hit,2,did
you hit your shoulder,2,hit
on the table,0,None
mosquito,0,None
you don't have a mosquito bite back there,1,don't
don't hit your head on the bicycle,1,don't
yes that is a man,1,is
do you know the man's name,1,don't
yes what's the man's name driving the busy bulldozer,1,s
yes he's pushing the dirt up,1,s
what's the man's name,1,s
this is the man ,1,is
man who drives the busy bulldozer,1,drives
what is his name,1,is
what's his name,1,is
where did what go,2,did
you tell me ,1,tell
what's happening,1,s
until he met how many men,2,met
three men,0,None
that's one of the men,1,s
come on pal,1,come
let's go,1,let's
no don't push Mommy's book,1,don't
no it isn't yours,1,isn't
your books are over in your basket,1,are
is that Doctor Dan,1,isn't
is it,1,isn't
I didn't think it was,2,didn't
why do you call that spaghetti,1,do
or is that what ,1,is
you're saying,1,re
Daddy,0,None
what about Daddy,0,None
no that's Mr Cromer's suitcase,1,s
whose suitcase is that,1,is
no whose suitcase is that,1,is
whose is this,1,is
to whom does that belong,1,does
no that's not Adam's,1,s
yes that's Daddy's suitcase,1,s
careful don't be so rough,1,don't
it's not a pocketbook,1,s
no don't sit on that,1,don't
what kind of car do you have,1,do
put Miss Munroe's tow truck,1,put
is that your doggie,1,is
what's your doggie's name,1,s
Texaco star,0,None
that's not a star,1,s
what about Cliffy,0,None
bye lion,0,None
two boots,0,None
it doesn't belong there,1,doesn't
okay Adam ride it,1,ride
Adam's doggie,0,None
take his nose off,1,take
no you can't take his nose off,1,can't
how will he smell anything,3,will
no you can't take his nose off either,1,can't
you can't take his nose off,1,can't
no I don't think those two men can,1,don't
no you can't take the lion's nose off,1,can't
doggie take nose off,1,take
nose off what,0,None
no you can't take the nose off,1,can't
Adam who take nose off,1,take
take nose off Donald Duck,1,take
no,0,None
take nose off what,1,take
fire,0,None
bird,0,None
no you can't take the nose off the bird either,1,can't
does the bird have a nose,1,does
that's a donkey,1,s
and a piggie,0,None
monkey,0,None
that's a man and that's a little boy,1,s
that is a man,1,is
that's a piggie,1,s
that's a little baby doggie,1,s
the baby doggie is a puppy,1,is
well he does look a little like Pepper,1,does
it's not the same dog as Pepper,1,s
what is it doing,1,is
record going to work,1,is
yes it is working ,1,is
but what is it going,1,is
oh no you can't take it off yet,1,can't
it hasn't finished,1,hasn't
Adam sit down,1,sit
where are you going to sit,3,are you going to
peekaboo,0,None
it doesn't have nose,1,doesn't
where is the nose on the car,1,is
that's a train,1,s
the car is on the train,1,is
who dat that,0,None
car train,0,None
car train,0,None
what is that,1,is
do you have anything in your pocket,1,do
do you have a penny,1,do
that's the rug,1,s
careful don't step on his foot,1,don't
what is that,1,is
that's part of the broom,1,s
what is that part of,1,is
excuse me Ursula part of the broom,1,excuse
why don't you put it in the trash,1,don't
yes right there,0,None
yeah,0,None
what did you find,2,did
what is that,1,is
what else is on there,1,is
beans and what,0,None
those aren't beans,1,aren't
they're peas,1,re
what else,0,None
no,0,None
Humpty_Dumpty,0,None
what did Humpty_Dumpty do,2,did
he sat on the wall,2,sat
all the king's horses and all the king's,0,None
men,0,None
could not put,1,could
Ricky will fix that,3,will
Lilly,0,None
oh Lilly will fix it,3,will
oh Jesus loves me,1,loves
at church,0,None
we passed two nuns in the grocery store and Adam told his daddy,2,passed
and Adam told his daddy,2,told
Jesus love me,1,love
coat,0,None
you wanna go to church,1,wanna
you don't go to church today,1,don't
Adam's driving,1,s
Adam you don't ride your up there,1,don't
not up there either,0,None
no,0,None
no,0,None
no,0,None
where did Daddy go,2,did
careful Adam,0,None
yes that is Daddy,1,is
no leave that back there,1,leave
that's Ursula's tape recorder,1,s
Mommy is Ursula's Daddy,1,is
oh,0,None
you tell me,1,tell
where did Daddy go,2,did
what does Daddy do at school,1,does
is the busy bulldozer at school,1,is
he can't march,1,can't
no he can't march,1,can't
no,0,None
Green_jeans,0,None
yes Mr Green_jeans can march,1,can
Bambi can't march,1,can't
who,0,None
oh yes the bear can march,1,can
yes,0,None
where's your bumble bee,1,s
get the bumble bee alright,1,get
do you think ,1,do
he can drive with that there,1,can
what's her little boy's name,1,s
that's your name,1,s
what's her little boy's name,1,s
why don't you take Ursula's briefcase over to her,1,don't
you can take it off,1,can
I doubt it,1,doubt
oh is that the marching bear,1,is
put him to work,1,put
oh put him on the rug,1,put
oh no Mr Green_jeans is gone now,1,gone
who is that,1,is
that's Adam,1,s
do you see him,1,see
do you see Ursula too,1,see
who else do you see,1,do
do you see your truck too,1,do
you don't mean ball,1,don't
that's a bat,1,s
where's the ball,1,s
outside,0,None
careful don't spill it,1,don't
don't spill the water on the rug,1,don't
what,0,None
no,0,None
he doesn't want any water,1,doesn't
I don't think,1,don't
ask her if she'd like some,1,ask
ask Mr Cromer if he'd like some water,1,ask
the suitcase wants water,1,wants
no,0,None
that's not your tummy,1,s
how many tummies do you have,1,do
that's the man who wrote the book,2,wrote
you tell me,1,tell
what are you doing,1,are
oh you're wiping it off,1,re
Adam go to work,1,go
where does Adam work,1,does
Adam do you know ,1,do
where you live,1,live
this is Adam's house,1,s
but where is it,1,is
oh Adam's driving,1,s
who is driving,1,is
Robbie's driving too,1,s
what are you doing,1,are
Hobo's truck,0,None
did you find it,2,did
yes,0,None
where is it,1,is
where's the other one,1,s
throw to Daddy,1,throw
Doctor Dan at the circus,0,None
he has two boots on,1,has
that's a lion tamer,1,s
the lady of the elephant,0,None
what is that,1,is
that's the doggie,1,s
who is that,1,s not going to
yes tattooed man,0,None
no he's not going to bite the doggie,3,s not going to 
and the doggie's not going to bite him,3,s not going to 
they're all falling down,1,see
see ,1,see
the bird gets away,1,gets
first he does what,1,does
no the doggie didn't bite him,2,didn't
what's this,1,s
what is she putting the bandaid on,1,is
take boots on,1,take
Adam doesn't have cowboy boots like that,1,doesn't
do you recognize any of these pictures,1,do
yeah they all fall down,1,fall
how did he get tattooed,2,didn't
who fell down,2,fell
what happened to your head,2,happened
what fell down,2,fell
you beep beep Adam,1,beep
you move some of your toys,1,move
yes move your bike,1,move
where's your racket,1,s
you're welcome,1,re
that's for you,1,s
whose book is that,1,is
Bruno Walter,0,None
Bruno Walter,0,None
what does he look like,1,does
playing the piano,0,None
they do look like stars,1,do
what's he doing,1,s
what's his name,1,s
what is that,1,is
what is that,1,is
what is that,1,is
no that's no paper,1,s
what is he doing Adam,1,is
Adam didn't write that,2,didn't
Mr Walter did,2,didn't
which one is Mr Walter,1,is
girl,0,None
when,0,None
what is he doing,1,is
he's conducting,1,s
he's in there,1,s
you going to give back to Ursula now,0,None
you'll give it to whom,3,ll
what are you doing Adam,1,are
Adam's not funny,1,s
where did Daddy go,2,did
Daddy Cromer,0,None
no that's not Cromer's Daddy,1,s
no Mommy's not Cromer's Mommy either,1,s
Adam Cromer,0,None
whose coat is that,1,is
what are you going to do with the pencil,3,are you going to
how do you know tha your pencil,1,do
yes it's turned on,1,s
what are you talking about,1,are
what is that,1,is
you tell me,1,tell
what is that,1,is
Adam's pencil,0,None
is that a pencil,1,is
you want some paper,1,want
what,0,None
sure,0,None
where did you get that,2,did
sure,0,None
do you know,1,do
how old you are,1,are
two boy,0,None
what,0,None
see the racket,1,see
the racket isn't up there,1,isn't
oh you see that,1,see
where is it,1,isn't
Mommy's pillows,0,None
well I don't want my pillows on the floor,1,don't
oh they're Adam's pillows,1,re
I don't think,1,don't
Daddy wants his pillows on the floor either,1,wants
put together again,1,put
with a needle and some thread maybe we can put it back together,1,can
thread,0,None
did you ask him to move it,2,did
are you pulling your dog,1,are
is the doggie broken,1,is
that's no lion,1,s
well that's the right way,1,s
you can't do that honey,1,can't
what are you Adam,1,are
busy bulldozer,0,None
Adam did you pick up the pillows,2,did
what's so funny,1,s
did you think that was funny,2,did
that was funny,2,was
don't ride the roadgrader up there,1,don't
that's right,1,s
it's not a big hill,1,s
where is your pencil,1,is
no this is mine,1,is
I have mine,1,have
no this Mommy's,0,None
can you read,1,can
what's on there Adam,1,s
do you want a piece,1,do
doctor Dan,0,None
who is that,1,is
who,0,None
oh wash hands,1,wash
where,0,None
what is that,1,is
what is that,1,is
what is that,1,is
this,0,None
why don't you show it to Ursula,1,don't
yes Donald_Duck,0,None
who is it,1,is
show it to Ursula,1,show
Bambi,0,None
is that Bambi,1,is
what did you say then Adam,2,did
why is he like Perro,1,is
is there a bunny there,1,is
Adam what,0,None
wet your pants,1,wet
can you say you're sorry,1,can
where's the kitchen,1,s
where's the kitchen,1,s
is that the kitchen,1,is
you go get it,1,go
Adam is that a ball,1,is
what kind of car broke,2,broke
oh take my hand out,1,take
are you as tall as Mommy,1,are
get the hand out,1,get
what's this,1,s
that's not Donald Duck,1,s
what is that,1,is
that's an egg,1,s
look at the chicken coming out,1,look
hello Chatter,0,None
oh no you can't take that out_of his hand,1,can't
you're eating Chatter's what,1,re
what did you bite,2,did
wipe it off,1,wipe
was it good,2,was
it doesn't go in your mouth does it,1,doesn't
in whose mouth does it go,1,doesn't
no not Mommy's mouth,0,None
not Adam's mouth,0,None
bite whose mouth,1,bite
no,0,None
no,0,None
no,0,None
does the tape recorder have a mouth,1,does
where is it,1,is
what's the matter,1,s
is that hot,1,is
who dat that,0,None
where,0,None
what,0,None
ready,0,None
ready for what,0,None
careful the microphone,0,None
Daddy's desk,0,None
what hurts,1,hurts
whose tummy hurts,1,hurts
oh your tummy hurts,1,hurts
if you put the tractor on your book,1,put
won't you tear it up,3,won't
no you won't tear the book up,3,won't
mosquito,0,None
that's not a choo_choo train,1,s
what is that,1,is
that's a block,1,s
what color is the block,1,is
purple red green,0,None
what color is the hammer,1,is
Bambi's green,0,None
what's Bambi doing,1,s
poor Bambi,0,None
did you hurt your head ,2,did
when you feel,1,feel
did he hurt his head,2,did
up in the sky,0,None
you go get it,1,go
you get it,1,get
where did what go,2,did
the light,0,None
what,0,None
where did the glove go,2,did
how can you use the glove and the racket at the same time,1,can
alright be careful,1,be
oh you lost your shoe,2,lost
what did you hit,2,did
you knocked Bambi off,2,knocked
Bambi,0,None
call Daddy,1,call
Daddy,0,None
Daddy's not home,1,s
Daddy's not home,1,s
home,0,None
Daddy's not home,1,s
home,0,None
Mommy's home,1,s
Adam is home,1,is
Bambi is home,1,is
Cromer's at your home,1,s
Joshua's at his home,1,s
Kenny's at his home,1,s
doggie's home,1,s
who,0,None
ball is home,1,is
Perro is home,1,is
yes man driving tractor over there,0,None
yes he's home,1,s
home,0,None
yes tractor is home,1,is
yes busy bulldozer is home,1,is
Adam is home,1,is
dirt is home,1,is
oh yes,0,None
bike is home,1,is
yes,0,None
Ricky's at his home,1,s
yes,0,None
Susy is at her home,1,is
who,0,None
where is your pencil,1,is
what is that,1,is
what's in his mouth,1,s
tongue,0,None
yeah,0,None
yes that's an eye,1,s
how many eyes,0,None
two ears,0,None
two eyes,0,None
yes that is a bell,1,is
yes that bell is home,1,is
Ursula's at your home,1,s
tape recorder's at your home,1,s
who,0,None
Adam or,0,None
door,0,None
Doctor Dan at the Circus,0,None
don't you think,1,don't
you should pick it up,1,should
and put it in the basket,1,put
make Cromer do it,1,make
you pick doc Dan up yourself,1,pick
why don't you show him the tattooed man,1,don't
what is that,1,is
part of an apple,0,None
it does look like part of an apple but it's not,1,does
but it's not,1,s
I think maybe it came from your basket,2,came
yes I think ,1,think
it's part of the basket,1,s
go where it belongs,1,go
where it belongs,1,belongs
I don't think,1,don't
you can put it back,1,can
no that's not part of an apple,1,s
no it looks like it,1,looks
but it's not part of it,1,s
it's not part of the apple,1,s
you didn't hafta make her move,2,didn't
careful Adam with that pencil,0,None
what happened to Adam,2,happened
did somebody spank Adam,2,did
that's not your tummy back there,1,s
what is that back there,1,is
change your diaper,1,change
that's your back,1,s
you don't have two tummies,1,don't
your tummy's in front,1,s
two what,0,None
whose shoes did you hit,2,did
Jack and Jill,0,None
you wanna take it over to Ursula,1,wanna
don't Adam foot,1,don't
it sounded like,2,sounded
marching bear,0,None
that's tape,1,s
no that's tape,1,s
that's a screw,1,s
Ursula's all set,1,s
no,0,None
we leave this down here,1,leave
so it will be out_of the way,3,will
that's not a screw,1,s
that's just part of the machine,1,s
well that's a screw,1,s
get back,1,get
alright,0,None
don't you touch then,1,don't
if it's hot ,1,s
won't it burn you,3,won't
find a penny,0,None
where did you put it,2,did
put it in your pocket,1,put
don't touch,1,don't
four what,0,None
pad,0,None
do you want a pencil,1,do
what are you going to write,3,are you going to
you're going to write Cromer,3,re gonig to
you're using your right hand this morning,1,re
that's very pretty,1,s
you're going to write Cromer,1,re gonig to
don't knock it over,1,don't
good morning,0,None
hurt knee,2,hurt
hurt knee,2,hurt
you didn't hurt yourself with the screwdriver,2,didn't
you can fix the screws in your firetruck,1,can
put this one here,1,put
did you tell Ursula what kind of train that is,2,didn't
what kind of train that is,1,is
did you tell her the color,2,didn't
what kind of truck is it,1,is
truck broken,0,None
you put the truck where,1,put
you're a busy bulldozer,1,re
oh it's a truck,1,s
oh no it's a busy bulldozer,1,s
how many,0,None
red and yellow,0,None
which one is yellow,1,is
Ursula's right there,1,s
can you put it together again,1,can
you put it together,1,put
you turned it around properly,2,turned
and then you put them together,1,put
see the other one ,1,see
and put them together,1,put
is it like this one,1,is
which one looks like that one,1,looks
what kind of horn is that,1,is
what color is the paper,1,is
what's the matter with you,1,s
where did Adam go,2,did
what is that,1,is
oh you're a baby,1,re
well what is that,1,is
what does the baby have in his mouth,1,does
whistle baby,0,None
what,0,None
mouth oh,0,None
whistle in the baby's mouth,0,None
oh that would be an awfully smart baby,1,be
that's Adam's baby,1,s
when are you going to learn to put your shoe on yourself,1,are you going to 
